COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST - Republican Party,BALLOTS CAST - Democratic Party,BALLOTS CAST - Libertarian Party,BALLOTS CAST - Constitution Party,BALLOTS CAST - NONPARTISAN,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,DEM For U.S. Senator,DEM For U.S. Senator,DEM For U.S. Senator,DEM For U.S. Senator,DEM For U.S. Senator,DEM For U.S. Senator,DEM For U.S. Senator,DEM For U.S. Senator,DEM For U.S. Senator,DEM For U.S. Senator,DEM For U.S. Senator,LIB For U.S. Senator,CON For U.S. Senator,REP For State Auditor,REP For State Auditor,DEM For State Auditor,LIB For State Auditor,REP For U.S. Representative District 3,REP For U.S. Representative District 3,REP For U.S. Representative District 3,REP For U.S. Representative District 3,DEM For U.S. Representative District 3,DEM For U.S. Representative District 3,DEM For U.S. Representative District 3,DEM For U.S. Representative District 3,REP For U.S. Representative District 4,REP For U.S. Representative District 4,REP For U.S. Representative District 4,REP For U.S. Representative District 4,REP For U.S. Representative District 4,REP For U.S. Representative District 4,REP For U.S. Representative District 4,DEM For U.S. Representative District 4,LIB For U.S. Representative District 4,REP For State Representative District 44,DEM For State Representative District 44,DEM For State Representative District 45,DEM For State Representative District 46,REP For State Representative District 47,DEM For State Representative District 47,DEM For State Representative District 47,REP For State Representative District 50,DEM For State Representative District 50,DEM For Circuit Judge Circuit 13 Division 2,DEM For Associate Circuit Judge Circuit 13 Division 5,DEM For Associate Circuit Judge Circuit 13 Division 9,DEM For Associate Circuit Judge Circuit 13 Division 10,DEM For Associate Circuit Judge Circuit 13 Division 10,DEM For Associate Circuit Judge Circuit 13 Division 11,REP For Presiding Commissioner,REP For Presiding Commissioner,DEM For Presiding Commissioner,DEM For County Clerk,DEM For Clerk of the Circuit Court,REP For Recorder of Deeds,DEM For Recorder of Deeds,DEM For Recorder of Deeds,DEM For Recorder of Deeds,DEM For Prosecuting Attorney,REP For County Auditor,DEM For County Auditor,DEM For Collector of Revenue,"Columbia COUNCIL MEMBER, THIRD WARD","Columbia COUNCIL MEMBER, THIRD WARD",
,,,,,REP,DEM,LIB,CON,NON,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,LIB,CON,REP,REP,DEM,LIB,REP,REP,REP,REP,DEM,DEM,DEM,DEM,REP,REP,REP,REP,REP,REP,REP,DEM,LIB,REP,DEM,DEM,DEM,REP,DEM,DEM,REP,DEM,DEM,DEM,DEM,DEM,DEM,DEM,REP,REP,DEM,DEM,DEM,REP,DEM,DEM,DEM,DEM,REP,DEM,DEM,NON,NON,
,,,VOTERS,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,Patrick A Lewis,Eric Schmitt,Billy Long,Eric Greitens,Bernie Mowinski,C.W. Gardner,Deshon Porter,Vicky Hartzler,Dave Sims,Mark McCloskey,Eric McElroy,Dennis Lee Chilton,Robert Allen,Dave Schatz,Hartford Tunnell,Kevin C. Schepers,Rickey Joiner,Robert Olson,Russel Pealer Breyfogle Jr,Darrell Leon McClanahan III,Curtis D. Vaughn,Lewis Rolen,Gena Ross,Carla Coffee Wright,Josh Shipp,Spencer Toder,Lucas Kunce,Jewel Kelly,Clarence (Clay) Taylor,Pat Kelly,Trudy Busch Valentine,Ronald (Ron) William Harris,Jonathan Dine,Paul Venable,David Gregory,Scott Fitzpatrick,Alan Green,John A. Hartwig Jr.,Brandon Wilkinson,Blaine Luetkemeyer,Dustin Hill,Richard Skwira Jr.,Jon Karlen,Bethany Mann,Andrew Daly,Dylan Durrwachter,Jim (Soupy) Campbell,Rick Brattin,William (Bill) Irwin,Mark Alford,Kalena Bruce,Taylor Burks,Kyle Stonner LaBrue,Jack Truman,Randy Langkraehr,Cheri Toalson Reisch,Dave Raithel,Kathy Steinhoff,David Tyson Smith,John Martin,Adrian Plank,Chimene Schwach,James Musgraves,Douglas Mann,Jeff Harris,Kimberly Shaw,Tracy Z. Gonzalez,Angela Peterson,Kayla I. Jackson-Williams,Stephanie Morrell,Connie M. Leipard,James Pounds,Kip Kendrick,Brianna L. Lennon,Christy Blakemore,Shamon Jones,Shannon Martin,Bob Nolte,Nick Knoth,Roger Johnson,Jason Gibson,Kyle Rieman,Brian C McCollum,Karl Skala,Roy Lovelady,
,0001,1A (Combined with Central 1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0002,1B&1E&1H&1K,6161,101,18,82,0,1,0,0,6,0,6,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,11,1,5,36,3,2,0,15,1,0,0,3,10,76,0,1,9,1,0,10,32,13,3,2,0,0,0,0,2,0,12,0,0,0,74,0,0,0,0,0,0,77,75,76,24,50,74,7,5,75,76,76,9,41,17,13,74,9,75,75,0,0,
,0003,1C&1G,2208,565,74,488,2,1,0,3,31,0,12,0,1,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,3,9,19,1,42,308,3,4,6,89,0,2,1,20,37,413,2,0,0,0,0,0,0,0,0,2,10,10,9,8,22,3,414,2,0,0,420,0,0,0,0,0,0,415,413,410,238,227,409,36,21,422,429,413,52,155,222,87,407,53,405,412,0,0,
,0004,1D,1402,172,23,148,1,0,0,1,7,0,3,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,14,5,6,57,9,1,2,39,1,1,0,7,13,117,1,0,0,0,0,0,0,0,0,3,2,2,2,1,8,0,114,1,0,0,115,3,0,0,0,0,0,114,118,113,47,90,109,13,5,117,124,120,17,59,60,16,113,15,115,118,0,0,
,0005,1F&1I&1J&2J,3704,786,292,493,1,0,0,2,99,5,37,0,3,0,126,1,4,0,0,3,8,0,1,1,0,1,0,0,7,9,25,3,16,256,6,1,5,160,1,1,0,95,152,432,1,2,33,1,0,8,39,12,1,14,24,45,49,16,78,7,372,1,0,0,210,0,170,125,121,0,0,433,429,430,193,261,427,166,82,433,440,433,219,176,198,88,423,217,423,431,0,0,
,0006,2A&2F,1868,444,142,300,2,0,0,0,54,2,17,1,0,0,59,0,3,1,0,0,1,0,0,0,0,0,0,3,2,3,16,3,12,164,5,2,2,87,1,2,0,34,89,266,2,0,0,0,0,0,0,0,0,5,12,9,24,19,48,14,266,2,0,0,0,271,0,0,0,0,0,272,270,268,121,160,268,84,40,276,283,273,104,104,129,60,267,104,268,269,0,0,
,0007,2B&2I,2082,342,129,210,3,0,0,0,43,1,27,0,0,0,51,1,2,2,0,0,0,0,0,0,0,0,0,0,6,4,11,2,11,105,7,1,0,59,1,3,0,41,74,181,3,0,0,0,0,0,0,0,0,7,17,10,27,17,37,7,179,3,0,0,0,183,0,0,0,0,0,182,185,183,65,131,181,71,44,182,189,185,102,87,90,22,179,104,179,179,0,0,
,0008,2C&2G (Combined with Central 2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
