COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST - Republican Party,BALLOTS CAST - Democratic Party,BALLOTS CAST - Libertarian Party,BALLOTS CAST - Constitution Party,BALLOTS CAST - NONPARTISAN,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,REP For U.S. Senator,DEM For U.S. Senator,DEM For U.S. Senator,DEM For U.S. Senator,DEM For U.S. Senator,DEM For U.S. Senator,DEM For U.S. Senator,DEM For U.S. Senator,DEM For U.S. Senator,DEM For U.S. Senator,DEM For U.S. Senator,DEM For U.S. Senator,LIB For U.S. Senator,CON For U.S. Senator,REP For State Auditor,REP For State Auditor,DEM For State Auditor,LIB For State Auditor,REP For U.S. Representative District 3,REP For U.S. Representative District 3,REP For U.S. Representative District 3,REP For U.S. Representative District 3,DEM For U.S. Representative District 3,DEM For U.S. Representative District 3,DEM For U.S. Representative District 3,DEM For U.S. Representative District 3,REP For U.S. Representative District 4,REP For U.S. Representative District 4,REP For U.S. Representative District 4,REP For U.S. Representative District 4,REP For U.S. Representative District 4,REP For U.S. Representative District 4,REP For U.S. Representative District 4,DEM For U.S. Representative District 4,LIB For U.S. Representative District 4,REP For State Representative District 44,DEM For State Representative District 44,DEM For State Representative District 45,DEM For State Representative District 46,REP For State Representative District 47,DEM For State Representative District 47,DEM For State Representative District 47,REP For State Representative District 50,DEM For State Representative District 50,DEM For Circuit Judge Circuit 13 Division 2,DEM For Associate Circuit Judge Circuit 13 Division 5,DEM For Associate Circuit Judge Circuit 13 Division 9,DEM For Associate Circuit Judge Circuit 13 Division 10,DEM For Associate Circuit Judge Circuit 13 Division 10,DEM For Associate Circuit Judge Circuit 13 Division 11,REP For Presiding Commissioner,REP For Presiding Commissioner,DEM For Presiding Commissioner,DEM For County Clerk,DEM For Clerk of the Circuit Court,REP For Recorder of Deeds,DEM For Recorder of Deeds,DEM For Recorder of Deeds,DEM For Recorder of Deeds,DEM For Prosecuting Attorney,REP For County Auditor,DEM For County Auditor,DEM For Collector of Revenue,"Columbia COUNCIL MEMBER, THIRD WARD","Columbia COUNCIL MEMBER, THIRD WARD",
,0009,2D&2K&20,2999,746,370,374,2,0,0,1,144,4,37,0,1,1,165,0,4,2,0,0,1,0,1,1,1,1,1,2,3,5,24,1,14,177,6,4,3,128,5,2,0,121,185,325,2,0,0,0,0,0,0,0,0,18,36,40,69,46,112,9,318,2,0,0,0,221,114,79,39,0,0,319,320,316,167,182,318,198,111,323,330,320,273,141,147,52,314,276,315,317,0,0,
,0010,2E&2H,2886,655,282,367,5,1,0,3,134,3,35,0,0,0,89,1,3,0,0,0,5,0,1,0,2,0,0,3,1,7,17,3,14,198,5,3,3,106,2,5,1,80,171,326,5,0,0,0,0,0,0,0,0,14,39,27,49,27,104,5,327,5,0,0,0,333,0,0,0,0,0,328,330,328,167,184,325,173,86,327,332,328,227,124,160,67,324,232,323,328,0,0,
,0011,3A&3G&3K,2529,463,198,257,3,1,4,1,83,0,27,0,0,1,76,0,2,3,0,0,3,0,0,0,0,0,0,1,4,5,15,3,12,109,6,0,4,90,1,3,1,71,104,222,3,0,0,0,0,0,0,0,0,11,24,24,36,14,62,4,219,3,0,0,0,223,0,0,0,0,0,224,225,223,101,141,222,110,63,226,228,226,154,99,103,35,224,157,223,219,249,194,
,0012,3B&3D,3193,479,120,337,4,0,18,2,48,6,13,0,3,0,43,0,1,0,0,1,0,0,0,0,0,0,0,1,4,11,22,1,21,185,9,2,5,70,1,4,0,44,57,278,4,0,0,0,0,0,0,0,0,13,7,12,29,12,32,2,275,4,0,0,221,68,0,0,0,0,0,282,281,281,141,176,277,57,45,293,299,281,88,115,102,88,275,90,270,275,201,264,
,0013,3C&3I&3M,2332,375,146,219,2,0,8,1,58,3,17,0,0,0,62,0,1,0,0,2,1,0,1,0,0,0,0,0,1,7,19,1,3,90,8,1,4,76,1,2,0,40,91,183,2,0,0,0,0,0,0,0,0,13,14,16,27,13,47,6,181,2,0,0,0,182,0,0,0,0,0,179,181,179,72,126,175,69,58,180,185,181,117,94,64,35,179,117,178,179,167,191,
,0014,3E&3H&3L,2610,504,236,256,4,1,7,2,82,1,18,1,0,1,113,0,3,2,0,0,0,1,1,0,0,5,0,2,5,6,14,4,18,112,5,2,3,78,0,4,1,62,127,225,4,15,113,13,2,34,84,25,0,4,8,10,6,9,37,1,90,1,0,0,8,199,0,0,0,17,17,225,224,222,90,141,222,119,64,224,229,225,170,90,112,37,217,170,220,221,244,240,
,0015,3F&3J,2998,666,259,392,2,0,13,0,102,5,28,0,3,0,101,0,7,2,0,2,2,0,0,1,0,2,0,3,7,9,24,1,25,201,7,1,6,100,6,2,0,80,149,340,2,0,0,0,0,0,0,0,0,9,25,24,51,31,86,13,340,2,0,0,0,345,0,0,0,0,0,334,335,331,147,216,340,139,87,341,345,341,203,166,136,60,339,203,337,339,273,370,
,0016,4A&4J,1775,632,214,416,2,0,0,0,77,6,22,1,0,0,99,0,3,1,0,0,3,0,1,0,0,1,0,0,5,4,19,4,12,237,9,1,4,111,2,2,0,56,125,345,2,14,165,15,4,81,214,38,7,0,0,0,0,0,0,0,0,0,0,0,0,0,170,200,208,0,0,359,350,344,193,187,342,141,45,353,367,347,160,114,196,70,342,160,338,342,0,0,
,0017,4B&4G&21&37,4437,1148,517,629,0,2,0,1,194,0,39,2,1,2,250,4,6,2,0,2,7,1,1,0,1,1,0,0,4,7,29,4,23,344,17,5,2,176,5,0,2,161,278,517,0,49,396,34,12,122,329,69,7,0,0,0,0,0,0,0,1,0,0,0,0,0,400,344,275,0,0,527,517,520,279,311,508,323,128,520,536,519,392,195,294,86,508,395,506,511,0,0,
,0018,4C&4D,1911,714,129,584,1,0,0,2,46,2,15,1,0,0,55,1,1,0,0,0,5,0,1,0,0,0,0,0,3,8,14,2,28,397,5,3,3,112,0,1,0,41,67,474,1,11,88,10,5,105,366,32,4,0,0,0,0,0,0,0,0,0,0,0,0,0,99,205,366,0,0,482,475,473,273,281,467,68,37,480,504,479,91,205,232,118,461,92,463,472,0,0,
,0019,4E,1730,495,129,364,1,1,0,0,58,0,9,0,0,1,53,0,3,1,0,1,1,0,1,0,0,0,1,0,6,8,8,0,18,219,9,0,0,82,3,1,1,51,63,285,1,15,97,10,1,79,197,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,96,154,202,0,0,295,294,291,173,152,292,62,45,300,317,300,94,115,154,63,285,94,282,290,0,0,
,0020,4F&4I,1665,544,88,456,0,0,0,0,28,2,14,0,0,0,41,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4,6,2,23,305,5,0,3,104,0,0,0,20,47,376,0,4,65,9,2,95,241,33,6,0,0,0,0,0,0,0,1,0,0,0,403,0,0,0,0,0,0,397,387,381,295,142,380,50,19,405,414,387,56,68,292,77,381,56,379,386,0,0,
,0021,4H&4N,1506,566,200,365,0,1,0,0,85,1,20,0,0,1,81,1,2,0,0,0,6,0,0,0,0,0,0,1,2,4,8,4,18,204,0,2,3,112,0,0,1,69,92,315,0,23,147,14,2,64,211,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,157,196,157,0,0,320,315,315,180,145,312,126,50,320,324,310,152,88,202,51,311,155,307,310,0,0,
,0022,4K&4M,2660,813,401,410,2,0,0,1,165,4,37,0,1,0,177,0,7,0,0,0,7,0,1,0,0,0,0,0,8,7,10,2,25,210,8,3,3,122,1,2,0,129,215,328,2,42,300,40,2,88,216,29,9,0,0,0,0,0,0,0,0,0,0,0,0,0,343,199,200,0,0,342,339,336,188,184,335,255,104,346,356,341,329,132,213,46,331,332,333,338,0,0,
,0023,4L,1398,415,188,227,0,0,0,2,68,1,15,2,1,0,93,0,4,0,0,0,2,0,0,0,0,0,0,0,1,2,9,2,13,115,3,0,1,74,0,0,0,66,100,180,0,13,137,24,7,38,116,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,138,98,122,0,0,192,189,188,123,86,186,114,47,191,197,184,136,65,101,39,182,137,181,184,0,0,
,0024,4P&6G,2266,225,61,162,2,0,0,0,28,5,4,0,0,0,20,0,2,0,0,0,1,0,0,0,0,0,0,1,2,5,14,0,9,90,2,0,0,37,1,2,0,23,31,141,2,6,42,7,0,26,105,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,136,143,141,141,51,95,140,29,21,142,147,142,48,66,54,27,134,48,137,136,0,0,
,0025,5A&5E&5M (Combined with Central 3),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0026,5B&5K,2619,604,335,264,5,0,0,0,151,5,19,0,0,0,153,0,3,0,0,1,1,1,0,0,0,0,0,0,1,4,9,2,11,152,5,2,3,66,3,5,0,72,199,234,5,21,269,22,2,55,132,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,230,232,228,231,114,122,229,202,81,231,236,231,253,86,130,29,228,253,226,230,0,0,
,0027,5C&5H,2463,639,241,397,0,1,0,0,102,4,36,3,0,1,91,0,0,0,0,0,2,0,0,0,0,1,0,0,7,5,9,0,19,228,11,0,2,113,0,0,1,74,123,339,0,17,178,26,4,85,237,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,336,338,338,340,183,193,337,129,74,339,348,336,181,96,215,67,330,182,327,332,0,0,
,0028,5D&5I&5J,4203,778,390,385,3,0,0,2,162,3,39,1,0,4,166,0,2,0,0,1,1,0,0,0,2,2,0,3,6,6,9,1,14,211,14,0,4,113,1,3,0,121,203,320,3,34,282,36,10,69,211,58,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,323,313,311,314,165,183,313,233,108,317,327,317,288,119,166,60,314,293,308,318,0,0,
,0029,5F,1816,491,225,265,1,0,0,0,88,0,31,1,0,0,94,1,4,1,0,0,1,0,0,1,0,0,1,1,5,6,8,1,23,126,7,0,1,84,1,1,0,86,114,228,1,15,180,13,3,56,140,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,224,225,228,223,118,127,221,129,77,225,234,226,181,79,116,50,219,183,222,224,0,0,
,0030,5G&5L&36&44,1790,517,271,246,0,0,0,0,107,8,25,0,0,0,123,0,5,0,0,0,2,0,0,0,0,0,0,0,2,1,8,1,6,127,4,0,4,89,1,0,0,56,168,206,0,12,216,20,4,44,136,22,3,0,0,0,0,0,0,0,0,0,0,0,0,0,21,29,24,181,151,213,208,207,116,102,202,179,55,213,216,210,199,72,110,36,200,200,198,203,0,0,
,0031,6A&6B&6L,2676,190,33,157,0,0,0,0,13,0,4,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,8,0,9,101,4,2,1,26,0,0,0,6,16,129,0,2,19,5,1,34,81,22,2,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,135,130,126,75,67,129,15,8,133,137,132,18,44,68,30,123,18,122,125,0,0,
,0032,6C&6H,2025,504,161,339,4,0,0,1,64,1,25,1,0,1,60,0,3,0,0,0,1,0,1,0,1,1,0,0,3,6,6,1,17,187,2,2,5,110,0,4,0,42,90,300,4,15,113,13,5,86,196,22,8,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,13,33,295,295,295,187,131,295,80,47,292,301,291,112,94,185,44,291,112,291,293,0,0,
,0033,6D&6E&6F&6I&6K&28&29,6794,1047,486,561,0,0,0,3,193,2,61,0,1,1,202,0,9,1,0,0,7,0,0,0,1,2,0,0,3,8,11,2,24,281,10,2,11,200,4,0,0,148,272,469,0,69,357,38,5,124,308,46,12,0,0,0,0,0,0,0,0,0,162,110,55,0,0,0,0,196,300,471,471,467,251,249,458,291,131,476,493,473,379,241,186,73,455,388,447,462,0,0,
,0034,6J&25&34,3625,932,591,341,0,0,0,0,267,7,68,0,1,0,232,1,4,0,0,0,3,0,0,0,2,2,1,0,6,6,10,2,19,166,3,0,1,121,3,0,0,191,335,307,0,63,441,61,4,82,181,38,5,0,0,0,0,0,0,0,0,0,119,50,0,0,0,0,0,377,256,306,304,303,166,141,303,331,189,304,305,305,484,115,138,61,302,485,301,304,0,0,
,0035,07,2035,549,382,167,0,0,0,0,182,9,36,0,0,0,146,0,3,0,0,1,2,0,1,0,0,0,0,0,1,4,2,0,6,54,4,0,4,90,0,0,0,116,234,149,0,0,0,0,0,0,0,0,0,23,45,50,74,32,129,6,149,0,0,0,0,0,327,90,74,0,0,147,149,147,80,78,145,209,138,147,148,150,320,79,61,20,145,324,145,145,0,0,
,0036,08,1636,418,317,100,1,0,0,0,133,7,52,0,0,0,111,3,4,0,0,0,5,0,1,0,0,0,0,0,0,2,6,1,0,38,2,0,1,49,1,1,0,83,190,91,1,0,0,0,0,0,0,0,0,14,23,36,63,34,116,4,92,1,0,0,0,0,266,66,32,0,0,92,90,88,49,42,89,190,86,89,93,91,261,58,30,10,90,262,89,92,0,0,
,0037,09&10&11&12,3641,673,508,161,2,2,0,4,216,7,61,1,0,1,200,1,12,1,0,0,2,0,0,0,1,0,0,1,0,4,8,2,2,63,4,4,0,72,1,2,2,144,308,144,2,0,0,0,0,0,0,0,0,25,41,62,111,44,166,31,142,2,435,143,0,0,0,0,0,0,0,145,141,144,79,73,144,287,153,146,145,149,400,89,43,21,148,408,145,146,0,0,
,0038,15&17&22&40&45,5847,973,564,403,6,0,0,2,236,12,82,1,2,1,195,1,10,2,0,1,7,0,1,0,1,2,1,6,5,7,16,2,14,195,9,3,3,143,3,6,0,150,356,346,6,0,0,0,0,0,0,0,0,29,58,61,118,64,171,21,349,6,292,203,0,6,186,84,78,0,0,345,345,345,175,198,341,294,215,347,347,341,457,187,124,61,338,469,335,341,0,0,
,0039,16&39,3278,725,563,158,4,0,0,0,239,8,61,3,0,0,232,0,10,1,0,1,2,0,1,0,1,0,1,0,2,5,4,1,4,46,3,3,4,80,2,4,0,161,327,135,4,0,0,0,0,0,0,0,0,20,54,68,120,44,183,33,136,4,416,123,0,0,75,6,5,0,0,137,139,134,71,67,134,309,190,138,134,135,440,81,42,24,133,444,132,137,0,0,
,0040,18&19&38,2947,880,527,353,0,0,0,3,216,5,65,2,1,0,216,0,10,1,0,1,3,0,0,0,0,1,1,0,2,6,16,3,15,163,5,2,9,125,1,0,0,159,295,291,0,31,253,40,4,62,156,19,1,8,10,23,34,12,82,7,63,0,0,0,0,0,423,206,141,0,0,291,288,286,163,154,289,331,147,296,304,294,403,139,142,38,285,407,284,294,0,0,
,0041,23&24&33&41,4472,959,530,422,6,1,0,4,201,7,76,0,2,2,202,2,16,1,1,0,7,1,0,0,0,1,0,5,2,7,22,3,12,209,8,0,4,149,1,5,1,169,297,367,6,17,98,15,2,21,69,21,5,12,34,29,82,45,149,15,257,4,426,336,0,30,0,0,0,0,0,369,370,368,208,186,365,302,168,370,377,368,433,169,162,64,360,430,362,362,0,0,
,0042,26&27,3364,817,424,392,1,0,0,4,163,3,57,1,0,1,175,0,10,2,0,0,3,0,1,0,1,0,0,3,7,3,16,2,11,198,5,1,2,143,3,1,0,108,261,345,1,32,314,45,13,67,232,39,7,0,0,0,0,0,0,0,0,0,304,300,0,0,5,2,5,22,38,348,346,345,183,178,346,298,87,349,358,345,317,162,152,57,343,314,343,347,0,0,
,0043,30&35&43,3370,856,564,291,1,0,0,2,237,10,76,1,1,3,218,4,5,3,0,1,0,0,0,1,0,0,0,1,2,7,2,0,16,135,4,4,0,116,0,1,0,157,331,236,1,68,393,69,7,54,160,38,8,0,0,0,0,0,0,0,0,0,454,236,0,0,0,0,0,0,0,241,242,240,148,115,237,320,176,240,246,241,434,122,99,40,235,433,233,238,0,0,
,0044,31&32&42,3580,848,575,268,5,0,0,1,209,11,68,0,1,0,268,0,5,0,0,0,1,2,1,1,0,0,0,3,0,1,8,0,9,140,4,0,2,99,2,5,0,146,362,236,5,73,426,54,6,46,174,21,4,0,0,0,0,0,0,0,0,0,460,236,0,0,0,0,0,0,0,240,236,234,138,106,234,310,188,243,241,237,447,109,101,33,236,447,235,237,0,0,
,0045,INTRASTATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0046,FEDERAL STATE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,0047,ABSENTEE,0,2285,875,1397,4,3,6,5,249,19,82,2,2,2,449,4,17,1,0,0,21,3,1,0,1,3,1,3,17,47,65,15,86,655,34,6,37,389,9,4,3,256,479,1193,3,44,398,41,10,223,486,69,18,14,53,43,45,27,110,16,401,3,155,157,232,201,182,219,191,168,256,1207,1196,1189,688,608,1184,519,233,1227,1262,1208,637,504,556,222,1169,646,1154,1179,99,102,
,0048,CENTRAL 1,1112,522,117,403,0,0,2,1,52,1,11,0,1,0,46,1,0,0,0,0,1,0,0,0,0,1,0,0,2,9,36,5,15,218,7,3,6,82,1,0,0,35,60,327,0,4,43,4,1,22,81,13,5,6,3,11,9,1,22,3,204,0,15,39,159,48,19,22,33,16,36,324,333,330,170,202,324,73,29,331,341,328,83,135,168,47,315,89,309,322,23,39,
,0049,CENTRAL 2,2736,623,261,359,3,0,0,0,96,2,32,1,0,2,117,0,1,3,0,1,1,0,1,0,0,0,0,1,4,9,24,3,18,151,9,4,7,122,2,2,0,84,139,309,2,0,0,0,0,0,7,1,0,15,23,20,61,14,92,14,300,3,5,4,0,307,8,0,0,0,4,308,307,306,124,215,302,160,66,313,315,310,208,134,143,61,305,212,301,310,13,20,
,0050,CENTRAL 3,3426,859,465,393,1,0,0,0,209,7,43,0,0,1,192,0,5,1,0,0,3,0,1,0,0,0,0,1,0,13,15,3,19,206,6,2,4,120,2,1,0,126,267,344,1,41,349,41,5,96,218,40,2,0,1,0,0,0,0,0,1,0,4,0,1,1,5,1,4,330,331,340,341,342,197,164,336,297,107,346,352,344,326,133,163,60,337,334,335,340,0,0,
,ZZZ,COUNTY TOTALS,125775,29539,13621,15758,86,16,58,54,5425,189,1562,27,26,28,5696,27,199,34,1,19,131,9,20,6,15,27,9,46,165,295,666,99,737,8169,301,78,177,4728,74,84,15,4004,7703,13390,84,753,5921,721,123,1976,5355,905,149,281,563,632,1095,530,1895,221,5203,51,3247,1937,2291,2621,3204,2325,2277,2269,2671,13503,13429,13353,7176,7369,13266,7898,3960,13588,13911,13473,10454,5546,6578,2445,13171,10549,13101,13312,1269,1420,
